bug_id,label_01,label_02,label_03,general_label_01,general_label_02, general_label_03
1617523,Crash,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1619469,Test code,,,Development issue,,
1601717,Crash,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1622820,GUI-related issue,,,GUI-related issue,,
1618555,Wrong Functionality,,,Program Anomaly issue,,
1613900,Program Anomaly issue,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1622211,Wrong Functionality,,,Program Anomaly issue,,
1619752,Incompatibility,,,API issue,,
1609898,Program Anomaly issue,,,Program Anomaly issue,,
1623837,Wrong Functionality,,,Program Anomaly issue,,
1606082,Test code,,,Development issue,,
1613052,Program Anomaly issue,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1606108,Wrong Functionality,,,Program Anomaly issue,,
1611472,Wrong Functionality,,,Program Anomaly issue,,
1625264,GUI-related issue,Incorrect Rendering,,GUI-related issue,Program Anomaly issue,
1614329,Program Anomaly issue,,,Program Anomaly issue,,
1604216,Test code,,,Development issue,,
1603280,Crash,,,Program Anomaly issue,,
1622016,Compile,,,Development issue,,
1627108,Wrong Functionality,,,Program Anomaly issue,,
1604375,Program Anomaly issue,,,Program Anomaly issue,,
1616262,Crash,,,Program Anomaly issue,,
1620110,Wrong Functionality,Security issue,,Program Anomaly issue,Security issue,
1614657,Wrong Functionality,,,Program Anomaly issue,,
1629162,Wrong Functionality,Add-on or plug-in incompatibility,,Program Anomaly issue,API issue,
1609257,Add-on or plug-in incompatibility,,,API issue,,
1626426,Wrong Functionality,Incorrect Rendering,,Program Anomaly issue,Program Anomaly issue,
1622221,GUI-related issue,,,GUI-related issue,,
1620364,Incompatibility,Program Anomaly issue,,API issue,Program Anomaly issue,
1624724,Crash,,,Program Anomaly issue,,
1611876,Wrong Functionality,Test code,,Program Anomaly issue,Development issue,
1602686,Test code,Network Usage issue,,Development issue,Network Usage issue,
1626225,Wrong Functionality,,,Program Anomaly issue,,
1600470,Incorrect Rendering,,,Program Anomaly issue,,
1604003,Wrong Functionality,,,Program Anomaly issue,,
1618312,Crash,,,Program Anomaly issue,,
1611601,GUI-related issue,Incorrect Rendering,,GUI-related issue,Program Anomaly issue,
1600029,Program Anomaly issue,,,Program Anomaly issue,,
1629526,Crash,API issue,,Program Anomaly issue,API issue,
1615401,Crash,Security issue,,Program Anomaly issue,Security issue,
1611132,Test code,,,Development issue,,
1617678,Program Anomaly issue,,,Program Anomaly issue,,
1611848,Crash,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1624747,Crash,,,Program Anomaly issue,,
1623222,Wrong Functionality,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1618764,Test code,,,Development issue,,
1613976,Test code,,,Development issue,,
1622732,Crash,,,Program Anomaly issue,,
1609913,Incorrect Rendering,,,Program Anomaly issue,,
1624322,Wrong Functionality,,,Program Anomaly issue,,
1613093,Wrong Functionality,,,Program Anomaly issue,,
1606157,Test code,,,Development issue,,
1622490,Hang,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1626143,Test code,Wrong Functionality,,Development issue,Program Anomaly issue,
1630031,Security issue,,,Program Anomaly issue,Security issue,
1606613,Network Usage issue,,,Program Anomaly issue,Network Usage issue,
1614522,Program Anomaly issue,API issue,,Program Anomaly issue,API issue,
1603289,Wrong Functionality,,,Program Anomaly issue,,
1615306,Crash,,,Program Anomaly issue,,
1622420,Wrong Functionality,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1628628,Test code,,,Development issue,,
1616330,Program Anomaly issue,Security issue,,Program Anomaly issue,Security issue,
1620281,GUI-related issue,,,GUI-related issue,,
1617310,API issue,,,API issue,,
1629174,Security issue,Program Anomaly issue,,Security issue,Program Anomaly issue,
1609287,GUI-related issue,,,GUI-related issue,,
1627718,GUI-related issue,,,GUI-related issue,,
1622751,API issue,Crash,,API issue,Program Anomaly issue,
1611907,Crash,Network Usage issue,,Program Anomaly issue,Network Usage issue,
1602710,Crash,API issue,,Program Anomaly issue,API issue,
1604008,Crash,,,Program Anomaly issue,,
1618501,Crash,,,Program Anomaly issue,,
1631253,Wrong Functionality,,,Program Anomaly issue,,
1625288,Wrong Functionality,,,Program Anomaly issue,,
1617795,GUI-related issue,API issue,,GUI-related issue,API issue,
1623712,Program Anomaly issue,,,Program Anomaly issue,,
1617867,Test code,,,Development issue,,
1601738,Crash,Test code,,Program Anomaly issue,Development issue,
1624983,Database-related issue,Performance issue,Wrong Functionality,Database-related issue,Performance issue,
1623481,Test code,Database-related issue,,Development issue,Database-related issue,
1623060,GUI-related issue,API issue,,GUI-related issue,API issue,
1616563,Crash,,,Program Anomaly issue,,
1624696,GUI-related issue,,,GUI-related issue,,
1606205,Wrong Functionality,,,Program Anomaly issue,,
1606251,Incorrect Rendering,,,Program Anomaly issue,,
1628634,Wrong Functionality,,,Program Anomaly issue,,
1626496,Web incompatibility,,,API issue,,
1623501,Network Usage issue,API issue,,Network Usage issue,API issue,
1620209,Test code,,,Development issue,,
1606643,Crash,,,Program Anomaly issue,,
1614573,GUI-related issue,,,GUI-related issue,,
1604345,Test code,,,Development issue,,
1603316,Hang,,,Program Anomaly issue,,
1629565,Test code,,,Development issue,,
1622731,Crash,API issue,,Program Anomaly issue,API issue,
1618936,Wrong Functionality,,,Program Anomaly issue,,
1604402,Test code,,,Development issue,,
1620453,API issue,,,API issue,,
1614871,API issue,,,API issue,,
1625913,GUI-related issue,,,GUI-related issue,,
1631608,Wrong Functionality,,,Program Anomaly issue,,
1609400,Test code,Crash,,Development issue,Program Anomaly issue,
1628532,GUI-related issue,,,GUI-related issue,,
1620917,Crash,,,Program Anomaly issue,,
1627903,GUI-related issue,,,GUI-related issue,,
1634021,Test code,,,Development issue,,
1618600,GUI-related issue,,,GUI-related issue,,
1629109,Wrong Functionality,,,Program Anomaly issue,,
1619383,Wrong Functionality,,,Program Anomaly issue,,
1622124,API issue,Network Usage issue,,API issue,Network Usage issue,
1621282,Wrong Functionality,,,Program Anomaly issue,,
1601784,GUI-related issue,,,GUI-related issue,,
1612891,Test code,,,Development issue,,
1615111,Test code,,,Development issue,,
1617604,Compile,,,Development issue,,
1616679,Wrong Functionality,Web incompatibility,,Program Anomaly issue,API issue,
1610614,Crash,,,Program Anomaly issue,,
1627572,Crash,,,Program Anomaly issue,,
1638274,Wrong Functionality,,,Program Anomaly issue,,
1633538,Test code,API issue,,Development issue,API issue,
1612403,Wrong Functionality,GUI-related issue,,Program Anomaly issue,GUI-related issue,
1624308,Wrong Functionality,,,Program Anomaly issue,,
1623770,Crash,,,Program Anomaly issue,,
1615495,Wrong Functionality,,,Program Anomaly issue,,
1604588,Test code,Incorrect Rendering,,Development issue,Program Anomaly issue,
1636616,Wrong Functionality,Incorrect Rendering,,Program Anomaly issue,Program Anomaly issue,
1603484,Wrong Functionality,,,Program Anomaly issue,,
1635960,Test code,,,Development issue,,
1616338,Test code,,,Development issue,,
1624796,Test code,,,Development issue,,
1625615,Wrong Functionality,,,Program Anomaly issue,,
1604688,Wrong Functionality,,,Program Anomaly issue,,
1617333,GUI-related issue,,,GUI-related issue,,
1622117,Incompatibility,,,API issue,,
1632589,Test code,,,Development issue,,
1609901,Wrong Functionality,,,Program Anomaly issue,,
1628360,Wrong Functionality,,,Program Anomaly issue,,
1612956,GUI-related issue,,,GUI-related issue,,
1602939,GUI-related issue,Incorrect Rendering,,GUI-related issue,Program Anomaly issue,
1600491,Crash,,,Program Anomaly issue,,
1604340,Wrong Functionality,,,Program Anomaly issue,,
1634380,GUI-related issue,,,GUI-related issue,,
1620105,Performance issue,,,Performance issue,,
1628942,Wrong Functionality,,,Program Anomaly issue,,
1629787,Test code,GUI-related issue,,Development issue,GUI-related issue,
1634130,Crash,,,Program Anomaly issue,,
1633195,Wrong Functionality,,,Program Anomaly issue,,
1626413,Wrong Functionality,,,Program Anomaly issue,,
1616460,GUI-related issue,,,GUI-related issue,,
1611909,Test code,,,Development issue,,
1636683,GUI-related issue,,,GUI-related issue,,
1616160,Test code,,,Development issue,,
1618705,Wrong Functionality,,,Program Anomaly issue,,
1602974,Test code,,,Development issue,,
1609199,Wrong Functionality,,,Program Anomaly issue,,
1629361,Hang,,,Program Anomaly issue,,
1610814,Compile,,,Development issue,,
1606859,Crash,,,Program Anomaly issue,,
1628139,Test code,,,Development issue,,
1623130,Compile,,,Development issue,,
1603761,Crash,,,Program Anomaly issue,,
1626137,GUI-related issue,,,GUI-related issue,,
1605143,Wrong Functionality,,,Program Anomaly issue,,
1617315,Test code,,,Development issue,,
1614570,Crash,,,Program Anomaly issue,,
1605835,Wrong Functionality,,,Program Anomaly issue,,
1631160,Compile,,,Development issue,,
1616455,Wrong Functionality,,,Program Anomaly issue,,
1609861,Wrong Functionality,,,Program Anomaly issue,,
1626195,GUI-related issue,,,GUI-related issue,,
1631156,Wrong Functionality,,,Program Anomaly issue,,
1614294,Test code,,,Development issue,,
1623015,GUI-related issue,,,GUI-related issue,,
1604180,Crash,,,Program Anomaly issue,,
1631802,Test code,,,Development issue,,
1615752,Test code,,,Development issue,,
1631380,Wrong Functionality,,,Program Anomaly issue,,
1608923,Wrong Functionality,,,Program Anomaly issue,,
1609158,Wrong Functionality,,,Program Anomaly issue,,
1609019,Wrong Functionality,,,Program Anomaly issue,,
159681,Add-on or plug-in incompatibility,,,API issue,,
161624,Add-on or plug-in incompatibility,,,API issue,,
164502,Add-on or plug-in incompatibility,,,API issue,,
164505,Add-on or plug-in incompatibility,,,API issue,,
164551,Add-on or plug-in incompatibility,,,API issue,,
165730,Add-on or plug-in incompatibility,,,API issue,,
165928,Add-on or plug-in incompatibility,,,API issue,,
169853,Add-on or plug-in incompatibility,,,API issue,,
175125,Add-on or plug-in incompatibility,,,API issue,,
477459,Crash,,,Program Anomaly issue,,
173945,Incompatibility,,,API issue,,
175431,Incompatibility,,,API issue,,
282505,Incompatibility,,,API issue,,
97582,Wrong Functionality,,,Program Anomaly issue,,
157945,Database-related issue,,,Database-related issue,,
158203,Database-related issue,,,Database-related issue,,
158399,Database-related issue,,,Database-related issue,,
158601,Database-related issue,,,Database-related issue,,
158681,Database-related issue,,,Database-related issue,,
167701,Database-related issue,,,Database-related issue,,
177895,Database-related issue,,,Database-related issue,,
261993,Database-related issue,,,Database-related issue,,
575097,Crash,,,Program Anomaly issue,,
157651,GUI-related issue,,,GUI-related issue,,
159566,Program Anomaly issue,,,Program Anomaly issue,,
160205,Program Anomaly issue,,,Program Anomaly issue,,
164645,Program Anomaly issue,,,Program Anomaly issue,,
166019,Wrong Functionality,,,Program Anomaly issue,,
166026,GUI-related issue,,,GUI-related issue,,
169055,Wrong Functionality,,,Program Anomaly issue,,
169059,Program Anomaly issue,,,Program Anomaly issue,,
169064,Program Anomaly issue,,,Program Anomaly issue,,
169301,GUI-related issue,,,GUI-related issue,,
170251,Wrong Functionality,,,Program Anomaly issue,,
171768,Program Anomaly issue,,,Program Anomaly issue,,
172220,Program Anomaly issue,,,Program Anomaly issue,,
173157,Program Anomaly issue,,,Program Anomaly issue,,
174811,Program Anomaly issue,,,Program Anomaly issue,,
179184,Program Anomaly issue,,,Program Anomaly issue,,
159602,Program Anomaly issue,,,Program Anomaly issue,,
159902,Program Anomaly issue,,,Program Anomaly issue,,
172218,Wrong Functionality,,,Program Anomaly issue,,
124920,GUI-related issue,,,GUI-related issue,,
125660,GUI-related issue,,,GUI-related issue,,
133425,GUI-related issue,,,GUI-related issue,,
159576,GUI-related issue,,,GUI-related issue,,
159639,GUI-related issue,,,GUI-related issue,,
159688,GUI-related issue,,,GUI-related issue,,
159689,GUI-related issue,,,GUI-related issue,,
175127,GUI-related issue,,,GUI-related issue,,
176425,GUI-related issue,,,GUI-related issue,,
178071,GUI-related issue,,,GUI-related issue,,
178298,GUI-related issue,,,GUI-related issue,,
330186,GUI-related issue,,,GUI-related issue,,
852072,GUI-related issue,,,GUI-related issue,,
169854,GUI-related issue,,,GUI-related issue,,
177812,Performance issue,,,Performance issue,,
78453,Permission-Deprecation issue,,,API issue,,
16237,Security issue,,,Security issue,,
328108,Security issue,,,Security issue,,
425110,Security issue,,,Security issue,,
503046,Security issue,,,Security issue,,
777558,Security issue,,,Security issue,,
1660001,Crash,,,Program Anomaly issue,,
1659013,Crash,,,Program Anomaly issue,,
1658010,Crash,,,Program Anomaly issue,,
1657911,Crash,,,Program Anomaly issue,,
1657895,Crash,,,Program Anomaly issue,,
1657888,Crash,,,Program Anomaly issue,,
1657857,Security issue,,,Security issue,,
1657208,Crash,,,Program Anomaly issue,,
1657205,Crash,,,Program Anomaly issue,,
1657193,Crash,,,Program Anomaly issue,,
1657174,Crash,,,Program Anomaly issue,,
1657062,Crash,,,Program Anomaly issue,,
1656980,Crash,,,Program Anomaly issue,,
1656974,Crash,,,Program Anomaly issue,,
1656925,Crash,,,Program Anomaly issue,,
1656858,Crash,,,Program Anomaly issue,,
1656854,Crash,,,Program Anomaly issue,,
1656853,Crash,,,Program Anomaly issue,,
1656596,Crash,,,Program Anomaly issue,,
1656463,Security issue,,,Security issue,,
1656261,Crash,,,Program Anomaly issue,,
1656039,Crash,,,Program Anomaly issue,,
1655929,Crash,,,Program Anomaly issue,,
1655779,Crash,,,Program Anomaly issue,,
1655746,Crash,,,Program Anomaly issue,,
1655674,Crash,,,Program Anomaly issue,,
1655474,Crash,,,Program Anomaly issue,,
1655455,Crash,,,Program Anomaly issue,,
1655179,Crash,,,Program Anomaly issue,,
1655175,Crash,,,Program Anomaly issue,,
1655115,Security issue,,,Security issue,,
1655000,Crash,,,Program Anomaly issue,,
1654935,Crash,,,Program Anomaly issue,,
1654925,Crash,,,Program Anomaly issue,,
1654901,Crash,,,Program Anomaly issue,,
1654803,Crash,,,Program Anomaly issue,,
1654764,Crash,,,Program Anomaly issue,,
1654626,Crash,,,Program Anomaly issue,,
1654601,Crash,,,Program Anomaly issue,,
1654472,Crash,,,Program Anomaly issue,,
1654186,Crash,,,Program Anomaly issue,,
1653977,Crash,,,Program Anomaly issue,,
1653922,Crash,,,Program Anomaly issue,,
1653913,Crash,,,Program Anomaly issue,,
1653667,Crash,,,Program Anomaly issue,,
1653649,Crash,,,Program Anomaly issue,,
1653642,Crash,,,Program Anomaly issue,,
1653563,Crash,,,Program Anomaly issue,,
1653502,Crash,,,Program Anomaly issue,,
1653113,Crash,,,Program Anomaly issue,,
1652972,Crash,,,Program Anomaly issue,,
1652967,Crash,,,Program Anomaly issue,,
1652894,Crash,,,Program Anomaly issue,,
1652750,Crash,,,Program Anomaly issue,,
1652699,Crash,,,Program Anomaly issue,,
1652618,Crash,,,Program Anomaly issue,,
1652583,Security issue,,,Security issue,,
1652439,Crash,,,Program Anomaly issue,,
1652409,Crash,,,Program Anomaly issue,,
1652406,Crash,,,Program Anomaly issue,,
1652397,Crash,,,Program Anomaly issue,,
1652148,Crash,,,Program Anomaly issue,,
1652140,Crash,,,Program Anomaly issue,,
1652085,Crash,,,Program Anomaly issue,,
1652049,Crash,,,Program Anomaly issue,,
1651941,Performance issue,,,Performance issue,,
1651889,Crash,,,Program Anomaly issue,,
1651636,Security issue,,,Security issue,,
1651468,Crash,,,Program Anomaly issue,,
1651116,Crash,,,Program Anomaly issue,,
1651088,Crash,,,Program Anomaly issue,,
1651087,Crash,,,Program Anomaly issue,,
1651086,Crash,,,Program Anomaly issue,,
1650989,Crash,,,Program Anomaly issue,,
1650829,Crash,,,Program Anomaly issue,,
1650751,Crash,,,Program Anomaly issue,,
1650748,Crash,,,Program Anomaly issue,,
1650740,Crash,,,Program Anomaly issue,,
1650656,Crash,,,Program Anomaly issue,,
1650655,Crash,,,Program Anomaly issue,,
1650590,Crash,,,Program Anomaly issue,,
1650562,Crash,,,Program Anomaly issue,,
1650404,Performance issue,,,Performance issue,,
1650282,Crash,,,Program Anomaly issue,,
1650260,Crash,,,Program Anomaly issue,,
1650257,Crash,,,Program Anomaly issue,,
1650211,Crash,,,Program Anomaly issue,,
1649676,Crash,,,Program Anomaly issue,,
1649253,Crash,,,Program Anomaly issue,,
1649073,Crash,,,Program Anomaly issue,,
1648821,Crash,,,Program Anomaly issue,,
1648703,Performance issue,,,Performance issue,,
1648577,Crash,,,Program Anomaly issue,,
1648372,Crash,,,Program Anomaly issue,,
1648356,Crash,,,Program Anomaly issue,,
1648355,Performance issue,,,Performance issue,,
1648353,Crash,,,Program Anomaly issue,,
1648326,Crash,,,Program Anomaly issue,,
1648323,Crash,,,Program Anomaly issue,,
1648272,Crash,,,Program Anomaly issue,,
1648132,Crash,,,Program Anomaly issue,,
1648123,Crash,,,Program Anomaly issue,,
1648095,Crash,,,Program Anomaly issue,,
1647940,Crash,,,Program Anomaly issue,,
1647918,Crash,,,Program Anomaly issue,,
1647862,Crash,,,Program Anomaly issue,,
1647624,Crash,,,Program Anomaly issue,,
1647378,Crash,,,Program Anomaly issue,,
1647267,Performance issue,,,Performance issue,,
1647250,Crash,,,Program Anomaly issue,,
1647070,Crash,,,Program Anomaly issue,,
1646086,Performance issue,,,Performance issue,,
1646007,Performance issue,,,Performance issue,,
1645967,Performance issue,,,Performance issue,,
1644070,Security issue,,,Security issue,,
1643604,Performance issue,,,Performance issue,,
1640667,Performance issue,,,Performance issue,,
1640441,Performance issue,,,Performance issue,,
1640160,Performance issue,,,Performance issue,,
1640103,Performance issue,,,Performance issue,,
1639740,Performance issue,,,Performance issue,,
1637682,Security issue,,,Security issue,,
1637157,Performance issue,,,Performance issue,,
1636841,Performance issue,,,Performance issue,,
1636038,Performance issue,,,Performance issue,,
1634738,Security issue,,,Security issue,,
1634491,Security issue,,,Security issue,,
1634051,Performance issue,,,Performance issue,,
1634046,Performance issue,,,Performance issue,,
1633410,Performance issue,,,Performance issue,,
1633101,Performance issue,,,Performance issue,,
1632467,Performance issue,,,Performance issue,,
1632241,Security issue,,,Security issue,,
1631696,Performance issue,,,Performance issue,,
1631508,Security issue,,,Security issue,,
1631251,Security issue,,,Security issue,,
1630681,Performance issue,,,Performance issue,,
1629788,Performance issue,,,Performance issue,,
1628831,Security issue,,,Security issue,,
1628499,Security issue,,,Security issue,,
1628288,Security issue,,,Security issue,,
1628120,Security issue,,,Security issue,,
1627691,Performance issue,,,Performance issue,,
1627644,Security issue,,,Security issue,,
1627569,Performance issue,,,Performance issue,,
1627084,Performance issue,,,Performance issue,,
1626802,Performance issue,,,Performance issue,,
1626728,Security issue,,,Security issue,,
1626152,Security issue,,,Security issue,,
1625404,Security issue,,,Security issue,,
1625333,Security issue,,,Security issue,,
1624301,Performance issue,,,Performance issue,,
1623934,Performance issue,,,Performance issue,,
1623888,Security issue,,,Security issue,,
1623849,Performance issue,,,Performance issue,,
1622316,Performance issue,,,Performance issue,,
1621853,Security issue,,,Security issue,,
1621390,Performance issue,,,Performance issue,,
1621203,Performance issue,,,Performance issue,,
1620920,Security issue,,,Security issue,,
1620818,Security issue,,,Security issue,,
1620719,Security issue,,,Security issue,,
1620290,Security issue,,,Security issue,,
1620247,Performance issue,,,Performance issue,,
1620203,Security issue,,,Security issue,,
1620200,Security issue,,,Security issue,,
1620193,Security issue,,,Security issue,,
1619338,Security issue,,,Security issue,,
1618925,Performance issue,,,Performance issue,,
1618915,Security issue,,,Security issue,,
1618911,Security issue,,,Security issue,,
1618739,Security issue,,,Security issue,,
1618662,Performance issue,,,Performance issue,,
1617951,Performance issue,,,Performance issue,,
1617928,Security issue,,,Security issue,,
1617908,Security issue,,,Security issue,,
1617423,Security issue,,,Security issue,,
1617207,Performance issue,,,Performance issue,,
1617162,Performance issue,,,Performance issue,,
1617111,Performance issue,,,Performance issue,,
1617100,Performance issue,,,Performance issue,,
1617092,Performance issue,,,Performance issue,,
1616909,Security issue,,,Security issue,,
1616838,Performance issue,,,Performance issue,,
1616661,Security issue,,,Security issue,,
1616535,Security issue,,,Security issue,,
1616464,Performance issue,,,Performance issue,,
1616351,Performance issue,,,Performance issue,,
1616268,Performance issue,,,Performance issue,,
1616047,Performance issue,,,Performance issue,,
1616041,Performance issue,,,Performance issue,,
1615647,Performance issue,,,Performance issue,,
1615590,Performance issue,,,Performance issue,,
1615564,Performance issue,,,Performance issue,,
1615488,Performance issue,,,Performance issue,,
1615471,Security issue,,,Security issue,,
1615452,Performance issue,,,Performance issue,,
1615051,Performance issue,,,Performance issue,,
1614971,Security issue,,,Security issue,,
1614890,Performance issue,,,Performance issue,,
1614734,Performance issue,,,Performance issue,,
1614704,Security issue,,,Security issue,,
1614689,Performance issue,,,Performance issue,,
1614470,Performance issue,,,Performance issue,,
1614468,Security issue,,,Security issue,,
1614105,Performance issue,,,Performance issue,,
1613930,Performance issue,,,Performance issue,,
1613918,Performance issue,,,Performance issue,,
1613765,Security issue,,,Security issue,,
1613735,Security issue,,,Security issue,,
1613644,Performance issue,,,Performance issue,,
1613609,Security issue,,,Security issue,,
1613400,Performance issue,,,Performance issue,,
1613314,Performance issue,,,Performance issue,,
1613195,Security issue,,,Security issue,,
1613157,Security issue,,,Security issue,,
1613009,Security issue,,,Security issue,,
1612994,Security issue,,,Security issue,,
1612774,Performance issue,,,Performance issue,,
1612636,Security issue,,,Security issue,,
1612590,Performance issue,,,Performance issue,,
1612330,Performance issue,,,Performance issue,,
1612308,Security issue,,,Security issue,,
1612130,Performance issue,,,Performance issue,,
1612061,Security issue,,,Security issue,,
1611893,Performance issue,,,Performance issue,,
1611800,Performance issue,,,Performance issue,,
1611795,Performance issue,,,Performance issue,,
1611750,Performance issue,,,Performance issue,,
1611702,Security issue,,,Security issue,,
1611660,Performance issue,,,Performance issue,,
1611639,Performance issue,,,Performance issue,,
1611563,Performance issue,,,Performance issue,,
1611534,Security issue,,,Security issue,,
1611482,Security issue,,,Security issue,,
1611462,Performance issue,,,Performance issue,,
1611190,Performance issue,,,Performance issue,,
1611144,Performance issue,,,Performance issue,,
1611101,Performance issue,,,Performance issue,,
1611098,Performance issue,,,Performance issue,,
1610828,Security issue,,,Security issue,,
1610826,Security issue,,,Security issue,,
1610687,Security issue,,,Security issue,,
1610450,Security issue,,,Security issue,,
1610426,Security issue,,,Security issue,,
1610005,Security issue,,,Security issue,,
1609896,Security issue,,,Security issue,,
1609751,Security issue,,,Security issue,,
1609748,Performance issue,,,Performance issue,,
1609686,Performance issue,,,Performance issue,,
1609242,Performance issue,,,Performance issue,,
1609217,Performance issue,,,Performance issue,,
1608785,Security issue,,,Security issue,,
1608687,Security issue,,,Security issue,,
1608423,Performance issue,,,Performance issue,,
1608256,Security issue,,,Security issue,,
1607986,Performance issue,,,Performance issue,,
1607746,Performance issue,,,Performance issue,,
1607742,Security issue,,,Security issue,,
1607494,Security issue,,,Security issue,,
1607443,Security issue,,,Security issue,,
1607245,Performance issue,,,Performance issue,,
1607145,Performance issue,,,Performance issue,,
1606992,Performance issue,,,Performance issue,,
1606596,Security issue,,,Security issue,,
1606492,Security issue,,,Security issue,,
1606222,Performance issue,,,Performance issue,,
1606162,Performance issue,,,Performance issue,,
1606148,Security issue,,,Security issue,,
1606100,Performance issue,,,Performance issue,,
1606081,Performance issue,,,Performance issue,,
1605982,Security issue,,,Security issue,,
1605838,Performance issue,,,Performance issue,,
1605777,Security issue,,,Security issue,,
1605380,Performance issue,,,Performance issue,,
1605374,Performance issue,,,Performance issue,,
1605345,Performance issue,,,Performance issue,,
1605344,Performance issue,,,Performance issue,,
1605314,Security issue,,,Security issue,,
1605308,Security issue,,,Security issue,,
1604596,Security issue,,,Security issue,,
1603929,Security issue,,,Security issue,,
1603257,Security issue,,,Security issue,,
1603055,Security issue,,,Security issue,,
1602944,Security issue,,,Security issue,,
1602843,Security issue,,,Security issue,,
1602497,Security issue,,,Security issue,,
1602362,Security issue,,,Security issue,,
1600144,Security issue,,,Security issue,,
1599181,Security issue,,,Security issue,,
1599129,Security issue,,,Security issue,,
1599008,Security issue,,,Security issue,,
1599005,Security issue,,,Security issue,,
1598466,Security issue,,,Security issue,,
1597645,Security issue,,,Security issue,,
1597257,Security issue,,,Security issue,,
1597206,Security issue,,,Security issue,,
1597200,Security issue,,,Security issue,,
1596668,Security issue,,,Security issue,,
1596359,Security issue,,,Security issue,,
1595886,Security issue,,,Security issue,,
1595786,Security issue,,,Security issue,,
1595466,Security issue,,,Security issue,,